price
35.0
25.0
30.0
22.0
54.0
12.0
20.0
25.0
25.0
32.0
7.0
29.0
20.0
22.0
80.0
18.0
59.0
40.0
50.0
20.0
125.0
60.0
50.0
20.0
20.0
15.0
25.0
15.0
53.0
21.0
57.0
15.0
26.0
45.0
20.0
79.0
13.0
28.0
55.0
15.0
15.0
13.0
20.0
35.0
32.0
18.0
25.0
24.0
18.0
20.0
100.0
25.0
9.0
24.0
18.0
80.0
38.0
18.0
13.0
50.0
32.0
11.0
45.0
20.0
14.0
50.0
15.0
60.0
24.0
14.0
50.0
79.0
18.0
16.0
40.0
35.0
12.0
22.0
13.0
25.0
23.0
32.0
95.0
75.0
8.0
68.0
30.0
20.0
14.0
16.0
25.0
78.0
22.0
55.0
29.0
19.0
12.0
15.0
33.0
35.0
10.0
20.0
22.0
28.0
20.0
23.0
175.0
12.0
120.0
12.0
11.0
88.0
32.0
32.0
16.0
22.0
9.0
70.0
24.0
47.0
18.0
32.0
19.0
120.0
45.0
25.0
24.0
25.0
18.0
62.0
25.0
10.0
22.0
11.0
212.0
20.0
45.0
25.0
150.0
16.0
28.0
12.0
50.0
13.0
45.0
19.0
12.0
34.0
36.0
20.0
22.0
19.0
23.0
44.0
12.0
22.0
45.0
15.0
82.0
13.0
16.0
35.0
18.0
34.0
22.0
29.0
32.0
35.0
15.0
68.0
18.0
14.0
13.0
24.0
24.0
22.0
15.0
15.0
8.0
15.0
55.0
17.0
65.0
69.0
10.0
64.0
56.0
18.0
30.0
13.0
26.0
75.0
55.0
23.0
22.0
38.0
15.0
14.0
24.0
22.0
20.0
17.0
20.0
16.0
42.0
60.0
35.0
33.0
28.0
22.0
25.0
22.0
25.0
20.0
13.0
65.0
52.0
11.0
9.0
16.0
44.0
55.0
43.0
40.0
12.0
57.0
95.0
18.0
60.0
12.0
26.0
30.0
250.0
14.0
20.0
12.0
28.0
28.0
13.0
34.0
10.0
10.0
40.0
45.0
15.0
32.0
19.0
15.0
10.0
22.0
26.0
85.0
68.0
19.0
19.0
30.0
28.0
24.0
34.0
12.0
62.0
11.0
45.0
13.0
20.0
11.0
36.0
22.0
21.0
26.0
13.0
28.0
21.0
25.0
16.0
45.0
30.0
16.0
12.0
45.0
13.0
20.0
115.0
82.0
14.0
69.0
17.0
45.0
12.0
22.0
39.0
30.0
45.0
40.0
38.0
22.0
12.0
15.0
16.0
40.0
14.0
20.0
55.0
36.0
85.0
45.0
20.0
11.0
20.0
15.0
33.0
8.0
35.0
13.0
32.0
14.0
36.0
42.0
35.0
90.0
15.0
23.0
25.0
30.0
125.0
22.0
115.0
45.0
20.0
19.0
18.0
18.0
30.0
9.0
30.0
39.0
62.0
21.0
40.0
16.0
35.0
120.0
35.0
65.0
19.0
185.0
7.0
25.0
45.0
110.0
11.0
17.0
26.0
25.0
30.0
11.0
80.0
24.0
10.0
36.0
35.0
10.0
29.0
40.0
30.0
19.0
60.0
28.0
20.0
52.0
9.0
28.0
22.0
25.0
40.0
36.0
14.0
10.0
28.0
290.0
13.0
11.0
130.0
15.0
15.0
36.0
15.0
25.0
25.0
14.0
20.0
45.0
16.0
45.0
18.0
48.0
26.0
21.0
44.0
35.0
27.0
50.0
10.0
42.0
75.0
50.0
36.0
70.0
54.0
31.0
55.0
28.0
20.0
19.0
20.0
35.0
61.0
49.0
50.0
16.0
25.0
15.0
22.0
16.0
30.0
75.0
52.0
45.0
20.0
193.0
10.0
18.0
13.0
17.0
20.0
10.0
15.0
29.0
10.0
45.0
16.0
21.0
40.0
27.0
36.0
70.0
13.0
19.0
39.0
30.0
27.0
30.0
21.0
8.0
28.0
30.0
35.0
26.0
85.0
35.0
20.0
23.0
17.0
15.0
18.0
39.0
12.0
35.0
27.0
20.0
30.0
60.0
24.0
24.0
13.0
40.0
25.0
25.0
13.0
10.0
50.0
35.0
45.0
15.0
17.0
15.0
24.0
19.0
29.0
15.0
19.0
25.0
36.0
35.0
42.0
10.0
60.0
18.0
50.0
26.0
36.0
34.0
18.0
14.0
12.0
32.0
14.0
36.0
25.0
27.0
40.0
32.0
17.0
58.0
50.0
49.0
28.0
26.0
32.0
39.0
15.0
50.0
52.0
55.0
19.0
13.0
20.0
42.0
29.0
36.0
40.0
16.0
45.0
28.0
22.0
15.0
17.0
27.0
30.0
45.0
32.0
90.0
30.0
15.0
80.0
12.0
45.0
25.0
18.0
17.0
25.0
15.0
19.0
45.0
58.0
47.0
75.0
21.0
9.0
90.0
26.0
28.0
36.0
15.0
13.0
48.0
18.0
24.0
10.0
9.0
9.0
13.0
20.0
18.0
25.0
30.0
47.0
22.0
23.0
18.0
27.0
39.0
15.0
